标题： 生活大爆炸之为什么我们的文化还要你来教 	 链接：http://tieba.baidu.com//p/5288157821 	 发帖人：冰缘瑞雪... 	 发帖时间：8-24 	 回复数量： 4 
标题： #生活大爆炸##ShAmy# 	 链接：http://tieba.baidu.com//p/5356668295 	 发帖人：Shamyyy 	 发帖时间：17:02 	 回复数量： 0 
标题： 这不是三只松鼠吗？ 	 链接：http://tieba.baidu.com//p/5307948896 	 发帖人：会飞的鱿... 	 发帖时间：9-5 	 回复数量： 27 
标题： 【官方资源】最新资源和早期资源；找资源看这里就对了 	 链接：http://tieba.baidu.com//p/3330341157 	 发帖人：将轨 	 发帖时间：2014-10 	 回复数量： 5391 
标题： 想做一套TBBT的表情 	 链接：http://tieba.baidu.com//p/5343151318 	 发帖人：红眼章鱼 	 发帖时间：9-26 	 回复数量： 18 
标题： 最初的五人又同框了 	 链接：http://tieba.baidu.com//p/5353850713 	 发帖人：胸毛大... 	 发帖时间：10-3 	 回复数量： 5 
标题： 谢耳朵那句“梅毒驴子”到底想表达什么意思？ 	 链接：http://tieba.baidu.com//p/2221790698 	 发帖人：kailinduo 	 发帖时间：2013-03 	 回复数量： 28 
标题： 我今天才知道。。ponny的演员kelly cucco是个色 	 链接：http://tieba.baidu.com//p/5353219870 	 发帖人：dmxggggg 	 发帖时间：10-3 	 回复数量： 4 
标题： ！！！这个谢耳朵谈论《甄嬛传》的情节是真的有，还是网友自己p的 	 链接：http://tieba.baidu.com//p/4348295988 	 发帖人：z顶咚 	 发帖时间：2016-02 	 回复数量： 21 
标题： 生活大爆炸一直看 	 链接：http://tieba.baidu.com//p/5356259583 	 发帖人：爱言情小... 	 发帖时间：13:05 	 回复数量： 0 
标题： 这个火车谢耳朵会喜欢吗？ 	 链接：http://tieba.baidu.com//p/5355929144 	 发帖人：岳2y1211 	 发帖时间：09:33 	 回复数量： 3 
标题： 《小谢尔顿》第一集观后感 	 链接：http://tieba.baidu.com//p/5353946159 	 发帖人：挑灯天尽头 	 发帖时间：10-4 	 回复数量： 1 
标题： 11季第二季拍的啥啊 	 链接：http://tieba.baidu.com//p/5355809570 	 发帖人：542072012 	 发帖时间：07:03 	 回复数量： 2 
标题： 我想问问她是谁 	 链接：http://tieba.baidu.com//p/5312583551 	 发帖人：ACE廉价香水 	 发帖时间：9-8 	 回复数量： 10 
标题： 我发表了一篇图片贴，大伙来看看吧~ 	 链接：http://tieba.baidu.com//p/5355993633?fid=1441624 	 发帖人：会樊 	 发帖时间：10:21 	 回复数量： 0 
标题： 越狱里 胖妮也客串了！ 	 链接：http://tieba.baidu.com//p/5343686579 	 发帖人：晒黑的孤独 	 发帖时间：9-27 	 回复数量： 22 
标题： 我发表了一篇图片贴，大伙来看看吧~ 	 链接：http://tieba.baidu.com//p/5351385038 	 发帖人：白另君 	 发帖时间：10-2 	 回复数量： 4 
标题： 真的爆笑！ 	 链接：http://tieba.baidu.com//p/5355948922 	 发帖人：千度铁爸 	 发帖时间：09:48 	 回复数量： 0 
标题： 开个科普贴，本人在印度（农村）生活过8个月，有什么想问的 	 链接：http://tieba.baidu.com//p/1491364062 	 发帖人：黑色诱惑1... 	 发帖时间：2014-03 	 回复数量： 29975 
标题： 很明显PENNY的笑容很尴尬。 	 链接：http://tieba.baidu.com//p/5353655406 	 发帖人：高山流水0... 	 发帖时间：10-3 	 回复数量： 2 
标题： 发现一处穿帮 	 链接：http://tieba.baidu.com//p/5353371708 	 发帖人：傲娇的小... 	 发帖时间：10-3 	 回复数量： 7 
标题： 不眠之夜 	 链接：http://tieba.baidu.com//p/5276386552 	 发帖人：中国式半仙 	 发帖时间：8-17 	 回复数量： 0 
标题： 第十季第一集婚礼上amy用竖琴弹得是什么曲子？ 	 链接：http://tieba.baidu.com//p/5036474024 	 发帖人：綦晓雪 	 发帖时间：3-23 	 回复数量： 7 
标题： 艾美奖主持调侃谢耳朵的片酬 	 链接：http://tieba.baidu.com//p/3270208186 	 发帖人：Leo19810804 	 发帖时间：2014-09 	 回复数量： 157 
